Player,Role,Team,Opponent Team,Opponent Player,Group,Date,Patch,No Game,Side,Time,Champion,Outcome,Level,Kills,Deaths,Assists,CS in Team's Jungle,CSM,GPM,GOLD%,VSPM,WPM,VWPM,WCPM,VS%,DPM,DMG%,KP%,GD@15,Total damage taken,First blood participate,MVP,KP%@15,Frist tower,Tower@15,Total tower,First Dragon,Number of dragon,Number of uti dragon,Number of VB,Herald,First baron,Number of baron,mini team fight,mini team fight win,mini team fight tie,team fight,team fight win,team fight tie,Team jg share
Qingtian,TOP,UP,IG,Zuian,\,01.06.2024,v14.10,1,Blue,0:28:43,Ornn,Loss,14,1,5,1,0,5.8,292,17.80%,0.74,0.24,0.1,0.14,10.20%,232,19.10%,40.00%,-638,26656.1,0,0,0.333,0,1,3,0,0,0,4,0,0,0,1,0,0,3,0,1,47.3
H4cker,JUNGLE,UP,IG,glfs,\,01.06.2024,v14.10,1,Blue,0:28:43,Lillia,Loss,14,2,4,2,173,7,338,20.60%,1.08,0.21,0.14,0.24,14.80%,273,22.50%,80.00%,-765,30616.7,0,0,0.666,0,1,3,0,0,0,4,0,0,0,1,0,0,3,0,1,47.3
Yuekai,MID,UP,IG,neny,\,01.06.2024,v14.10,1,Blue,0:28:43,Tristana,Loss,15,2,1,1,16,9.7,443,27.10%,1.16,0.31,0.07,0.14,15.90%,356,29.30%,60.00%,1373,18141.6,0,0,0.666,0,1,3,0,0,0,4,0,0,0,1,0,0,3,0,1,47.3
Doggo,ADCARRY,UP,IG,Ahn,\,01.06.2024,v14.10,1,Blue,0:28:43,Jhin,Loss,14,0,0,4,2,8.7,351,21.40%,1.27,0.73,0.14,0.35,17.50%,254,20.80%,80.00%,-1029,8474.71,0,0,0.666,0,1,3,0,0,0,4,0,0,0,1,0,0,3,0,1,47.3
Niket,SUPPORT,UP,IG,Vampire,\,01.06.2024,v14.10,1,Blue,0:28:43,Leona,Loss,10,0,3,4,0,1.4,215,13.10%,3.03,1.88,0.56,0.42,41.60%,102,8.40%,80.00%,-303,12707.8,0,0,0.66,0,1,3,0,0,0,4,0,0,0,1,0,0,3,0,1,47.3
Zuian,TOP,IG,UP,Qingtian,\,01.06.2024,v14.10,1,Red,0:28:43,Skarner,Win,16,5,1,4,4,7.5,432,22.00%,1.4,0.52,0.31,0.17,14.00%,491,21.50%,69.20%,638,16125.7,1,1,0.5,1,0,9,1,4,0,2,1,1,1,1,1,0,3,2,1,52.7
glfs,JUNGLE,IG,UP,H4cker,\,01.06.2024,v14.10,1,Red,0:28:43,Nidalee,Win,15,4,1,7,199,7.6,408,20.80%,1.79,0.31,0.24,0.52,17.80%,310,13.50%,84.60%,765,24401.7,1,0,0.666,1,0,9,1,4,0,2,1,1,1,1,1,0,3,2,1,52.7
neny,MID,IG,UP,Yuekai,\,01.06.2024,v14.10,1,Red,0:28:43,Aurelion_Sol,Win,16,1,1,5,6,9,396,20.20%,1.19,0.31,0.21,0.31,11.90%,478,20.90%,46.20%,-1373,11906,0,0,0.167,1,0,9,1,4,0,2,1,1,1,1,1,0,3,2,1,52.7
Ahn,ADCARRY,IG,UP,Doggo,\,01.06.2024,v14.10,1,Red,0:28:43,Varus,Win,15,2,0,5,4,10.2,468,23.90%,2.16,0.56,0.21,0.84,21.60%,871,38.10%,53.80%,1029,6998.18,0,0,0.5,1,0,9,1,4,0,2,1,1,1,1,1,0,3,2,1,52.7
Vampire,SUPPORT,IG,UP,Niket,\,01.06.2024,v14.10,1,Red,0:28:43,Nautilus,Win,11,1,2,6,0,1.3,256,13.10%,3.48,1.71,0.49,0.56,34.70%,138,6.00%,53.80%,303,6896.66,0,0,0.5,1,0,9,1,4,0,2,1,1,1,1,1,0,3,2,1,52.7
