variant,fold,feature,coef_standardized,abs_coef,C
M1plusM2plusRWTS_indices_logistic,1,intercept_beta0,0.1146341417289645,0.1146341417289645,0.01
M1plusM2plusRWTS_indices_logistic,1,idx_early_lane,0.12381539343475119,0.12381539343475119,0.01
M1plusM2plusRWTS_indices_logistic,1,idx_objective_control,0.08878738877189152,0.08878738877189152,0.01
M1plusM2plusRWTS_indices_logistic,1,idx_fight_control,0.11278891339423265,0.11278891339423265,0.01
M1plusM2plusRWTS_indices_logistic,1,idx_resource_control,0.11405017319380845,0.11405017319380845,0.01
M1plusM2plusRWTS_indices_logistic,2,intercept_beta0,0.14818930526976476,0.14818930526976476,0.01
M1plusM2plusRWTS_indices_logistic,2,idx_early_lane,0.14328805226458458,0.14328805226458458,0.01
M1plusM2plusRWTS_indices_logistic,2,idx_objective_control,0.12725463442099064,0.12725463442099064,0.01
M1plusM2plusRWTS_indices_logistic,2,idx_fight_control,0.13176566543953214,0.13176566543953214,0.01
M1plusM2plusRWTS_indices_logistic,2,idx_resource_control,0.13909331381030265,0.13909331381030265,0.01
M1plusM2plusRWTS_indices_logistic,3,intercept_beta0,0.2706954384240363,0.2706954384240363,0.01
M1plusM2plusRWTS_indices_logistic,3,idx_early_lane,0.14218580502463948,0.14218580502463948,0.01
M1plusM2plusRWTS_indices_logistic,3,idx_objective_control,0.1524647793460926,0.1524647793460926,0.01
M1plusM2plusRWTS_indices_logistic,3,idx_fight_control,0.11382327659484158,0.11382327659484158,0.01
M1plusM2plusRWTS_indices_logistic,3,idx_resource_control,0.17522666620610536,0.17522666620610536,0.01
M1plusM2plusRWTS_indices_logistic,4,intercept_beta0,0.16380295671958736,0.16380295671958736,0.003
M1plusM2plusRWTS_indices_logistic,4,idx_early_lane,0.07804327993948168,0.07804327993948168,0.003
M1plusM2plusRWTS_indices_logistic,4,idx_objective_control,0.05730804004264377,0.05730804004264377,0.003
M1plusM2plusRWTS_indices_logistic,4,idx_fight_control,0.06353386753573174,0.06353386753573174,0.003
M1plusM2plusRWTS_indices_logistic,4,idx_resource_control,0.08142483484891955,0.08142483484891955,0.003
