Player,Role,rwts_final_mu,rwts_final_sigma,rwts_final_conservative,rwts_games,role_weight
JackeyLove,ADCARRY,33.617137672988626,6.029971901643981,15.527221968056686,30,1.1
Elk,ADCARRY,32.33377780985252,5.75254528133439,15.076141965849352,36,1.1
GALA,ADCARRY,29.19411094720567,5.8209874991626425,11.73114844971774,36,1.1
Ruler,ADCARRY,29.47140206296528,5.915033986446416,11.72630010362603,33,1.1
Hope,ADCARRY,28.257596451021463,5.683600907932277,11.206793727224632,37,1.1
Light,ADCARRY,27.334404191018976,5.758137562791305,10.059991502645062,37,1.1
1xn,ADCARRY,25.5601124558207,6.2126547042981946,6.922148342926118,29,1.1
deokdam,ADCARRY,24.245579490880054,5.925084508290257,6.470325966009284,33,1.1
Starry,ADCARRY,24.134590431139163,6.06639156754233,5.935415728512172,31,1.1
Assum,ADCARRY,24.303813700436535,6.141081643545087,5.880568769801272,30,1.1
Ahn,ADCARRY,23.25502830950565,5.842113059726001,5.728689130327648,35,1.1
Photic,ADCARRY,22.096151582473556,5.6157576237981885,5.248878711078991,38,1.1
Shaoye,ADCARRY,24.13515035825156,6.419677448690501,4.876118012180058,25,1.1
Leave,ADCARRY,21.76692036346995,6.08933709565181,3.498909076514522,31,1.1
Doggo,ADCARRY,20.33052387270794,5.862602974051087,2.742714950554678,35,1.1
LP,ADCARRY,25.02801456029089,7.524310392911431,2.455083381556598,10,1.1
Able,ADCARRY,20.658205885110043,6.952106808537677,-0.1981145405029885,18,1.1
Kepler,ADCARRY,22.245222847067193,7.735781155194594,-0.9621206185165896,7,1.1
huanfeng,ADCARRY,16.42502787835236,6.04813159740456,-1.7193669138613217,31,1.1
Tian,JUNGLE,34.008825749033555,6.029971901643981,15.918910044101615,30,1.15
Kanavi,JUNGLE,29.674647611281888,5.915033986446416,11.92954565194264,33,1.15
WeiWei,JUNGLE,29.384752353896836,5.8209874991626425,11.921789856408907,36,1.15
Croco,JUNGLE,28.405669016977008,5.683600907932277,11.354866293180176,37,1.15
Tarzan,JUNGLE,27.440513472428936,5.758137562791305,10.166100784055022,37,1.15
XUN,JUNGLE,29.65383385157668,6.56931214174239,9.94589742634951,23,1.15
Tianzhen,JUNGLE,28.869881012485905,7.022185275997337,7.803325184493893,17,1.15
Beichuan,JUNGLE,25.585572112903463,6.2126547042981946,6.947608000008881,29,1.15
milkyway,JUNGLE,24.21128764955641,5.925084508290257,6.436034124685641,33,1.15
Xiaohao,JUNGLE,24.272168868638197,6.141081643545087,5.848923938002933,30,1.15
glfs,JUNGLE,23.175711414483192,5.842113059726001,5.64937223530519,35,1.15
Wei,JUNGLE,23.918329284298302,6.313276077966067,4.9785010504001015,27,1.15
Meteor,JUNGLE,21.51420333443645,5.95934637960092,3.6361641956336896,32,1.15
AKi,JUNGLE,22.379608150762508,6.337763339245601,3.366318133025704,26,1.15
Jiejie,JUNGLE,21.61996219817313,6.08933709565181,3.3519509112177026,31,1.15
H4cker,JUNGLE,20.118274957831026,5.862602974051087,2.5304660356777653,35,1.15
Heng,JUNGLE,24.05482716592446,7.310201688929951,2.1242220991346095,13,1.15
Aki,JUNGLE,24.810257009667637,7.606657783785787,1.9902836583102754,9,1.15
XZZ,JUNGLE,26.427701672115177,8.167332236787292,1.9257049617533006,2,1.15
Yanxiang,JUNGLE,21.438750118521163,7.155727261441313,-0.02843166580277412,15,1.15
Leyan,JUNGLE,24.175987451263968,8.089393599396345,-0.0921933469250682,3,1.15
Iwandy,JUNGLE,24.21968033153226,8.253569256143058,-0.5410274368969112,1,1.15
XBY,JUNGLE,23.763549050965892,8.156331171339003,-0.7054444630511156,2,1.15
xiaofang,JUNGLE,20.752104367925924,7.199078502763206,-0.8451311403636943,14,1.15
Geju,JUNGLE,20.157187427137913,7.35808399545247,-1.9170645592194973,12,1.15
Creme,MID,34.008825749033555,6.029971901643981,15.918910044101615,30,1.15
Knight,MID,32.667131346664,5.75254528133439,15.409495502660832,36,1.15
Yagao,MID,29.674647611281888,5.915033986446416,11.92954565194264,33,1.15
Scout,MID,29.384752353896836,5.8209874991626425,11.921789856408907,36,1.15
Shanks,MID,28.405669016977008,5.683600907932277,11.354866293180176,37,1.15
xiaohu,MID,28.908644419489626,5.995429026364006,10.92235734039761,33,1.15
Ucal,MID,25.585572112903463,6.2126547042981946,6.947608000008881,29,1.15
Care,MID,24.21128764955641,5.925084508290257,6.436034124685641,33,1.15
Vicla,MID,24.272168868638197,6.141081643545087,5.848923938002933,30,1.15
Angel,MID,24.557909517367193,6.254127989110586,5.7955255500354355,28,1.15
neny,MID,23.175711414483192,5.842113059726001,5.64937223530519,35,1.15
Haichao,MID,21.51420333443645,5.95934637960092,3.6361641956336896,32,1.15
Cryin,MID,21.61996219817313,6.08933709565181,3.3519509112177026,31,1.15
RooKie,MID,20.48607372030976,5.847181644341149,2.9445287872863126,34,1.15
Yuekai,MID,20.118274957831026,5.862602974051087,2.5304660356777653,35,1.15
Rookie,MID,26.370920234602423,8.003510587636507,2.3603884716929002,4,1.15
FoFo,MID,20.930812578129878,6.27717714145324,2.099281153770157,28,1.15
Linfeng,MID,24.596692339300155,8.083183323218503,0.3471423696446472,3,1.15
Xiaohu,MID,23.629079765397577,8.003510587636507,-0.38145199751194525,4,1.15
Tangyuan,MID,19.19003123217133,6.5709056787056515,-0.5226858039456275,23,1.15
XZZ,MID,21.236437658553914,7.6703424321510125,-1.7745896378991226,8,1.15
meiko,SUPPORT,32.05038536880886,6.029971901643981,13.960469663876921,30,0.9
ON,SUPPORT,31.000363662606606,5.75254528133439,13.742727818603438,36,0.9
Hang,SUPPORT,28.431545320441,5.8209874991626425,10.96858282295307,36,0.9
Missing,SUPPORT,28.65841986969886,5.915033986446416,10.913317910359613,33,0.9
Kael,SUPPORT,27.66530618719939,5.683600907932277,10.61450346340256,37,0.9
Crisp,SUPPORT,27.71918975540506,5.890500637387902,10.047687843241356,35,0.9
Feather,SUPPORT,27.103663603874686,6.538445586304439,7.488326844961371,24,0.9
Life,SUPPORT,24.382746856174585,5.925084508290257,6.607493331303814,33,0.9
Ppgod,SUPPORT,24.291937625477495,6.06639156754233,6.092762922850504,31,0.9
Vampire,SUPPORT,23.57229588959554,5.842113059726001,6.0459567104175385,35,0.9
Jwei,SUPPORT,24.4303930276299,6.141081643545087,6.007148096994637,30,0.9
Zhuo,SUPPORT,22.624124022023803,5.6157576237981885,5.776851150629238,38,0.9
jinjiao,SUPPORT,22.271985218254617,5.95934637960092,4.393946079451858,32,0.9
Wink,SUPPORT,22.354753024657235,6.08933709565181,4.086741737701807,31,0.9
