role,label,valid_zMAE,train_n,valid_n
TOP,GD@15,0.7368541864513489,410,84
TOP,CSM,0.5639077135027867,410,84
TOP,GPM,0.6711258325267327,410,84
TOP,DMG%,0.596552823839068,410,84
TOP,DPM,0.6815759265544724,410,84
TOP,Total damage taken,0.8442148521222803,410,84
TOP,Deaths,0.8475893422370807,410,84
TOP,KP%,0.8455565584264649,410,84
TOP,GOLD%,0.6858165906233291,410,84
TOP,Assists,0.9014282642967097,410,84
TOP,Kills,0.7080587042067599,410,84
JUNGLE,KP%,0.5768336153847028,410,84
JUNGLE,DPM,0.6854109678112476,410,84
JUNGLE,GPM,0.6796774044681686,410,84
JUNGLE,CSM,0.5535602598484212,410,84
JUNGLE,Deaths,0.8984525314454976,410,84
JUNGLE,Assists,0.9279278023269223,410,84
JUNGLE,Kills,0.679149329210926,410,84
JUNGLE,GOLD%,0.6477349750194342,410,84
JUNGLE,CS in Team's Jungle,0.7099283453214341,410,84
MID,GD@15,0.6442832459708316,410,84
MID,CSM,0.7464153542438228,410,84
MID,KP%,0.618996676924893,410,84
MID,DPM,0.7180136838207746,410,84
MID,DMG%,0.6227498209227387,410,84
MID,GPM,0.7568227405142937,410,84
MID,Deaths,0.757877986894844,410,84
MID,Assists,0.6362513075387274,410,84
MID,GOLD%,0.699533700901921,410,84
MID,Kills,0.8281598458283431,410,84
ADCARRY,DPM,0.797523194892832,410,84
ADCARRY,DMG%,0.7706023752756254,410,84
ADCARRY,GPM,0.8342085481904912,410,84
ADCARRY,CSM,0.3384974797276151,410,84
ADCARRY,Deaths,0.9697246007858512,410,84
ADCARRY,Kills,0.8388343478090532,410,84
ADCARRY,Assists,0.8297277804986978,410,84
ADCARRY,GOLD%,0.6033998686199141,410,84
ADCARRY,KP%,0.806140674844111,410,84
SUPPORT,VSPM,0.39540198474876465,410,84
SUPPORT,WPM,0.4594978779663538,410,84
SUPPORT,VWPM,0.7405931298753693,410,84
SUPPORT,WCPM,0.6363363080894162,410,84
SUPPORT,VS%,0.4531230628931913,410,84
SUPPORT,KP%,0.7988315821765979,410,84
SUPPORT,Deaths,0.7949087941239534,410,84
SUPPORT,Assists,0.9075939448031136,410,84
SUPPORT,GOLD%,0.47689921597078844,410,84
SUPPORT,GPM,0.6646578961219103,410,84
