variant,model_type,top_k,interaction_mode,n_folds,n_features_mean,test_logloss_mean,test_logloss_std,test_brier_mean,test_brier_std,test_auc_mean,test_auc_std,test_accuracy_tuned_mean,test_accuracy_tuned_std,test_accuracy_0_5_mean,test_accuracy_0_5_std,threshold_mean
HardcodedGlobalConditions,global_condition_logistic,20,pairwise_condition_interactions,4,190.0,0.6632830072865423,0.033895340087975054,0.23482412403142544,0.016157491636375903,0.6369796682821092,0.06767298112100394,0.6130952380952381,0.02279588351800806,0.5952380952380952,0.09323285813072009,0.47874999999999995
Baseline_4Index_Model8,four_index_logistic,4,none,4,4.0,0.6658136199282185,0.015923550354291043,0.2363711063949922,0.007949479972347483,0.619718366605285,0.05252276202439564,0.6011904761904762,0.022795883518008077,0.625,0.045070701157144996,0.5075
HardcodedGlobalConditions,global_condition_logistic,10,main_effects_only,4,10.0,0.6771261467143579,0.00907352237497015,0.24106751589646203,0.003908453174110738,0.6195812209303818,0.03271677990241098,0.5952380952380952,0.05832118435198042,0.5833333333333334,0.041239304942116146,0.50125
HardcodedGlobalConditions,global_condition_logistic,20,main_effects_only,4,19.0,0.6834461116809396,0.016198946981881596,0.2438812981527488,0.007980316833880778,0.5941656907236617,0.03447744260159089,0.5595238095238095,0.030737963065138204,0.6011904761904762,0.07109711455225759,0.5037499999999999
HardcodedSeparatePatch,separate_patch_hardcoded_logistic,20,pairwise_condition_interactions,4,,0.6849215798926976,0.04468920132392751,0.23844500743503644,0.015246807728334439,0.6303368512226254,0.0593911878667613,0.5952380952380952,0.03367175148507376,0.6071428571428571,0.10378330817953985,0.51
HardcodedPatchAware_Pooled,pooled_patch_hardcoded_logistic,10,patch_x_condition_plus_condition_pairwise,4,155.0,0.6873835363815743,0.035487058139979995,0.2455696720722107,0.01682922918586494,0.5736121865746198,0.09118615582159599,0.5119047619047619,0.07402681788165728,0.6071428571428572,0.04956347617776505,0.51
HardcodedSeparatePatch,separate_patch_hardcoded_logistic,10,pairwise_condition_interactions,4,,0.6873908772901316,0.054561053083092864,0.24441236268487293,0.02224707843234886,0.6140848961262767,0.0899101598778161,0.6130952380952381,0.07866756984761511,0.5952380952380952,0.05832118435198043,0.5175
HardcodedPatchAware_Pooled,pooled_patch_hardcoded_logistic,10,patch_x_condition,4,42.5,0.687431837724158,0.04035799086300285,0.24552553139747596,0.01746151398885977,0.584354638425958,0.0686352619393252,0.5297619047619048,0.06838765055402415,0.5833333333333334,0.041239304942116105,0.4962499999999999
HardcodedPatchAware_Pooled,pooled_patch_hardcoded_logistic,20,patch_x_condition,4,69.0,0.6948017093920282,0.04731164090734733,0.24852523986318226,0.02003653755118686,0.57291459599812,0.07869781865976357,0.5238095238095238,0.06147592613027646,0.6071428571428572,0.041239304942116126,0.5087499999999999
HardcodedSeparatePatch,separate_patch_hardcoded_logistic,20,main_effects_only,4,,0.69515255079393,0.033005251519409,0.24944267936666198,0.015398654595091193,0.5679802249548627,0.07394714549666466,0.5416666666666667,0.049084590781162604,0.5833333333333334,0.07402681788165723,0.54125
HardcodedSeparatePatch,separate_patch_hardcoded_logistic,10,main_effects_only,4,,0.6954306304349992,0.04577799352738912,0.24885790341167013,0.019196153721758726,0.5887029942188218,0.08141535732160099,0.5238095238095238,0.08473871628596279,0.5773809523809523,0.04066250303952222,0.5475
HardcodedPatchAware_Pooled,pooled_patch_hardcoded_logistic,20,patch_x_condition_plus_condition_pairwise,4,496.5,0.7089749675277904,0.04222719350122693,0.24903406888544743,0.014830453434414591,0.5834232388723235,0.05141511818815117,0.5238095238095238,0.03367175148507374,0.6190476190476191,0.0911835340720322,0.55375
HardcodedGlobalConditions,global_condition_logistic,10,pairwise_condition_interactions,4,55.0,0.7153275839236843,0.11057182353505632,0.2541994649591203,0.04178057407397816,0.5870857378771185,0.1276736493081956,0.5773809523809523,0.08103403911373865,0.5654761904761905,0.052794185300198734,0.5049999999999999
