variant,model_type,top_k,interaction_mode,n_folds,n_features_mean,test_logloss_mean,test_logloss_std,test_brier_mean,test_brier_std,test_auc_mean,test_auc_std,test_accuracy_tuned_mean,test_accuracy_tuned_std,test_accuracy_0_5_mean,test_accuracy_0_5_std,threshold_mean
Baseline_4Index_Model8,four_index_logistic,4,none,4,4.0,0.6658136199282185,0.015923550354291043,0.2363711063949922,0.007949479972347483,0.619718366605285,0.05252276202439564,0.6011904761904762,0.022795883518008077,0.625,0.045070701157144996,0.5075
GlobalTopK_PredConditions,global_condition_logistic,7,pairwise_condition_interactions,4,28.0,0.678768191977937,0.014316572544706863,0.24237421592626554,0.006777372812403655,0.6111020900589932,0.04914448822780119,0.5773809523809523,0.03571428571428571,0.5833333333333334,0.04956347617776507,0.49874999999999997
GlobalTopK_PredConditions,global_condition_logistic,12,pairwise_condition_interactions,4,78.0,0.6789273734883585,0.043349415596077696,0.24188346841851985,0.01942144118204905,0.5970821872423703,0.07822285189151627,0.5773809523809524,0.03571428571428569,0.5952380952380952,0.04347004424644174,0.46874999999999994
GlobalTopK_PredConditions,global_condition_logistic,10,pairwise_condition_interactions,4,55.0,0.6797105489523135,0.047080586318186554,0.23802171427503663,0.01409844507386132,0.6168625454905012,0.05429487710148665,0.5892857142857143,0.029959660457423657,0.5773809523809523,0.05952380952380953,0.51
GlobalTopK_PredConditions,global_condition_logistic,5,pairwise_condition_interactions,4,15.0,0.682103795026715,0.018099145323389222,0.2440808996849769,0.00813848504104713,0.6079167116114103,0.054763037074684676,0.5654761904761905,0.011904761904761862,0.5773809523809523,0.02995966045742361,0.5037499999999999
GlobalTopK_PredConditions,global_condition_logistic,12,main_effects_only,4,12.0,0.6826902451165606,0.01016014028659715,0.2436373570038814,0.0039261139859174945,0.6168899778358207,0.029946377176661834,0.5773809523809523,0.02279588351800805,0.5952380952380952,0.03367175148507374,0.49
GlobalTopK_PredConditions,global_condition_logistic,10,main_effects_only,4,10.0,0.684613793552985,0.012450499255564202,0.244579113272475,0.005089358647976555,0.6059651145320482,0.037253121780431324,0.5773809523809523,0.029959660457423622,0.5833333333333334,0.03073796306513826,0.50125
PooledPatchAware_TopK,pooled_patch_interaction_logistic,12,patch_x_condition,4,44.5,0.6852601358821987,0.031008986837838075,0.24569431673098044,0.014363833877305474,0.5879103455095065,0.09559204677356903,0.5357142857142857,0.07402681788165724,0.5833333333333334,0.030737963065138225,0.49249999999999994
PooledPatchAware_TopK,pooled_patch_interaction_logistic,12,patch_x_condition_plus_condition_pairwise,4,275.5,0.6855441881217185,0.05760761002107022,0.24310163858500475,0.02307185811434646,0.6128783223796572,0.0831331395858752,0.5476190476190477,0.11167656571008165,0.5952380952380952,0.07776157913597391,0.51125
PooledPatchAware_TopK,pooled_patch_interaction_logistic,5,patch_x_condition,4,26.25,0.6857016492865426,0.03403580053074239,0.24583987237607147,0.016162299762533423,0.5787827261940535,0.09153369665983865,0.5476190476190477,0.038880789567986955,0.5535714285714286,0.04066250303952221,0.4799999999999999
PooledPatchAware_TopK,pooled_patch_interaction_logistic,10,patch_x_condition,4,39.5,0.6884706398358185,0.03305111998982278,0.24715271794523727,0.015355466605314234,0.5781335475271403,0.10416957475445787,0.5595238095238095,0.059919320914847245,0.5714285714285714,0.01944039478399346,0.5075
PooledPatchAware_TopK,pooled_patch_interaction_logistic,7,patch_x_condition,4,32.5,0.6894537869974138,0.03593353302129215,0.24783332860456492,0.017205642357667625,0.5633179140759232,0.12402472611134127,0.5357142857142857,0.06873217490352689,0.5535714285714286,0.07866756984761515,0.4937499999999999
GlobalTopK_PredConditions,global_condition_logistic,5,main_effects_only,4,5.0,0.6896881926331666,0.014188115751531241,0.2474143507926222,0.005880012845378483,0.5991998712012061,0.052833188048902524,0.5833333333333334,0.030737963065138242,0.5833333333333334,0.0455917670360161,0.48624999999999996
GlobalTopK_PredConditions,global_condition_logistic,7,main_effects_only,4,7.0,0.6914165042382427,0.015797720291788907,0.2482604973773462,0.006941523541262934,0.5948710824235233,0.05504601080224883,0.5535714285714286,0.04507070115714504,0.5297619047619048,0.059523809523809486,0.49499999999999994
GlobalTopK_PredConditions,global_condition_logistic,3,pairwise_condition_interactions,4,6.0,0.6919780754668433,0.004646291765908235,0.24903853607867393,0.001745403757097262,0.5812354090100086,0.0442846981413483,0.5535714285714286,0.04507070115714499,0.5535714285714286,0.022795883518008025,0.51125
PooledPatchAware_TopK,pooled_patch_interaction_logistic,3,patch_x_condition,4,17.75,0.6945359893463952,0.027500657256389668,0.25018218257990676,0.01276672318088231,0.5680939672596804,0.08855446956058076,0.5535714285714286,0.011904761904761862,0.5595238095238095,0.013746434980705328,0.48
GlobalTopK_PredConditions,global_condition_logistic,3,main_effects_only,4,3.0,0.6947959083943719,0.0075760487126084256,0.2502275496310998,0.0029624394123926785,0.5795682640028559,0.046844460329685186,0.5595238095238095,0.030737963065138183,0.5535714285714286,0.029959660457423595,0.49874999999999997
